model,precision,recall,f1,roc_auc,pr_auc
CLASS WEIGHT,0.060851926977687626,0.9183673469387755,0.11414077362079898,0.9721669425367221,0.7189463752156903
SMOTE,0.05813953488372093,0.9183673469387755,0.10935601458080195,0.9698482164390798,0.7248611768135256
