strategy,precision,recall,f1,roc_auc,pr_auc
class_weight,0.06311360448807854,0.9183673469387755,0.11811023622047244,0.9744630582959126,0.7382923382932789
smote,0.05917159763313609,0.9183673469387755,0.11117974058060531,0.9701797450128054,0.718170514606242
